"organization","key","name","qualifier","visibility","lastAnalysisDate","revision"
"gboticario","arq-alquimia-test-system-automated-test-1700445625480","arq-alquimia-test-system-automated-test-1700445625480","TRK","private",,
"gboticario","arq-alquimia-test-system-automated-test-1710532025231","arq-alquimia-test-system-automated-test-1710532025231","TRK","private",,
"gboticario","arq-alquimia-test-system-automated-test-1710532313842","arq-alquimia-test-system-automated-test-1710532313842","TRK","private",,
"gboticario","arq-authngb-aadb2c-docs","arq-authngb-aadb2c-docs","TRK","private",,
"gboticario","arq-ferramenta-de-arquitetura-kanbanize","arq-ferramenta-de-arquitetura-kanbanize","TRK","private",,
"gboticario","arq-finopping-finnoping-frontend","arq-finopping-finnoping-frontend","TRK","private","2024-06-24T17:27:56+0200","a7661515cf0d5cf7ea0642b82dc74a1df60142dc"
"gboticario","arq-finopping-finopping-backend","arq-finopping-finopping-backend","TRK","private","2023-08-21T22:18:02+0200","a7dfc22f495650f4424ab506067c1814a2ba53ad"
"gboticario","arq-finopping-relatorios-otimizacao","arq-finopping-relatorios-otimizacao","TRK","private",,
"gboticario","arq-green-it-carbon-monitoring-sample-pipeline","arq-green-it-carbon-monitoring-sample-pipeline","TRK","private",,
"gboticario","arq-green-it-kepler","arq-green-it-kepler","TRK","private",,
"gboticario","arq-hub-eventos-kafka-reference-python-app-serverless","arq-hub-eventos-kafka-reference-python-app-serverless","TRK","private","2022-09-16T18:49:26+0200","76d56086f7a283d13fe097789d0aa4ed3ba9c31b"
"gboticario","arq-marketplace-fulfillment-fulfillment-meli-invoice-worker","arq-marketplace-fulfillment-fulfillment-meli-invoice-worker","TRK","private","2023-02-02T21:46:25+0100","378f404aa4eb47f815c4be9ec6d3ef3abc8e627d"
"gboticario","arq-maturidade-engenharia-software-discussions-notifier","arq-maturidade-engenharia-software-discussions-notifier","TRK","private","2024-05-30T22:27:58+0200","6fc0f6bb17cfd82f1a2df8d59d3bb4dd34729deb"
"gboticario","arq-maturidade-engenharia-software-documentation","arq-maturidade-engenharia-software-documentation","TRK","private",,
"gboticario","arq-maturidade-engenharia-software-slack-alm-k8s","arq-maturidade-engenharia-software-slack-alm-k8s","TRK","private","2024-06-21T20:02:45+0200","d2539946c77d1a37add158a574d77f0e29edf62b"
"gboticario","arq-maturidade-engenharia-software-sonar-hook","arq-maturidade-engenharia-software-sonar-hook","TRK","private","2024-06-20T16:55:27+0200","064d1646da01e76e179b0e3aedb40a48ed5d4a6a"
"gboticario","arq-maturidade-engenharia-software-sonar-test","arq-maturidade-engenharia-software-sonar-test","TRK","private","2023-03-09T21:37:48+0100","b55a8f997992cecb1c4b8b9064b9f55b86429081"
"gboticario","arq-maturidade-engenharia-software-system-catalog-api","arq-maturidade-engenharia-software-system-catalog-api","TRK","private",,
"gboticario","arq-maturidade-engenharia-software-teste123","arq-maturidade-engenharia-software-teste123","TRK","private",,
"gboticario","arq-maturidade-engenharia-software-teste-discussion-template","arq-maturidade-engenharia-software-teste-discussion-template","TRK","private",,
"gboticario","alquimia-template-flutter-lib","arq-pdd-pdd-tempalte-flutter-lib","TRK","private",,
"gboticario","alquimia-template-python-ml","arq-pdd-pdd-template-python-ml","TRK","private",,
"gboticario","alquimia-template-infra-btp","arq-pdd-template-infra-btp","TRK","private",,
"gboticario","alquimia-template-python-glue","arq-pdd-template-python-glue","TRK","private",,
"gboticario","alquimia-templates","arq-pdd-templates","TRK","private","2022-08-16T21:09:12+0200","b0433e2e66329b47cb482cc0cdd72b596d4c5810"
"gboticario","arq-plataforma-de-desenvolvimento-actions-cd-glue-jobs","arq-plataforma-de-desenvolvimento-actions-cd-glue-jobs","TRK","private",,
"gboticario","arq-plataforma-de-desenvolvimento-actions-sap-rfc-setup","arq-plataforma-de-desenvolvimento-actions-sap-rfc-setup","TRK","private",,
"gboticario","arq-plataforma-de-desenvolvimento-crossplane-github-provider","arq-plataforma-de-desenvolvimento-crossplane-github-provider","TRK","private",,
"gboticario","plat-eng-alquimia-github-gb","arq-plataforma-de-desenvolvimento-github-gb","TRK","private",,
"gboticario","arq-plataforma-de-desenvolvimento-secrets-loader","arq-plataforma-de-desenvolvimento-secrets-loader","TRK","private",,
"gboticario","arq-plataforma-de-desenvolvimento-teste-sonar","arq-plataforma-de-desenvolvimento-teste-sonar","TRK","private",,
"gboticario","arq-plataforma-integracoes-kafka-pubsub-connector-image","arq-plataforma-integracoes-kafka-pubsub-connector-image","TRK","private",,
"gboticario","arq-plataforma-integracoes-migration-boilerplate-api","arq-plataforma-integracoes-migration-boilerplate-api","TRK","private","2024-06-04T19:00:49+0200","7b4c4d8553a965a968d28f84faac82bea9ada78b"
